confidence,note,relation,source,status,target
0.94,,implemented_by,SWR-020,valid,COMP-014
0.94,,implemented_by,SWR-021,valid,COMP-001
0.94,,implemented_by,SWR-022,valid,COMP-001
0.94,,implemented_by,SWR-023,valid,COMP-003
0.94,,implemented_by,SWR-024,valid,COMP-005
0.94,,implemented_by,SWR-025,valid,COMP-006
0.94,,implemented_by,SWR-026,valid,COMP-007
0.94,,implemented_by,SWR-027,valid,COMP-011
0.94,,implemented_by,SWR-028,valid,COMP-012
0.94,,implemented_by,SWR-029,valid,COMP-013
0.94,,implemented_by,SWR-030,valid,COMP-014
0.99,,verified_by,SWR-001,valid,TC-001
0.99,,verified_by,SWR-001,valid,TC-002
0.99,,verified_by,SWR-003,valid,TC-003
0.99,,verified_by,SWR-004,valid,TC-004
0.99,,verified_by,SWR-006,valid,TC-005
0.99,,verified_by,SWR-007,valid,TC-006
0.99,,verified_by,SWR-010,valid,TC-007
0.99,,verified_by,SWR-012,valid,TC-008
0.99,,verified_by,SWR-014,valid,TC-009
0.99,,verified_by,SWR-016,valid,TC-010
0.99,,verified_by,SWR-018,valid,TC-011
0.99,,verified_by,SWR-020,valid,TC-012
0.99,,verified_by,SWR-021,valid,TC-013
0.99,,verified_by,SWR-022,valid,TC-014
0.99,,verified_by,SWR-023,valid,TC-015
0.99,,verified_by,SWR-027,valid,TC-016
0.99,,verified_by,SWR-028,valid,TC-017
0.99,,verified_by,SWR-029,valid,TC-018
0.99,,verified_by,SWR-030,valid,TC-019
0.35,Lane estimation is unrelated to obstacle detection.,satisfied_by,SR-001,invalid,SYS-019
0.31,Ambient-light requirement is unrelated to driver warning latency.,satisfied_by,SR-005,invalid,SYS-003
